"","SubmissionID","StudentID","MarkerID","Publish.Time","Intro","Hypoth","Methods","Results.text","Fig.Tables","Legend.Title","Disc.InterpFindings","Disc.IntegrateLit","Refs","Kn.PhysMechs","Kn.ExpApproach","W.Structure","W.LanguageJargon","W.GrammarSpelling","Final.Grade"
"1",3142,"S8582201","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"2",3143,"S8405073","T19","29/04/13 14:26",50,65,100,65,65,80,50,50,50,65,65,65,50,"65",63.25
"3",3144,"S8581505","T09","30/04/13 17:02",35,35,80,20,50,20,35,35,65,35,35,65,35,"50",42.5
"4",3145,"S8627317","T08","29/04/13 14:29",35,50,80,65,80,100,35,50,50,65,50,50,35,"35",55.5
"5",3146,"S8579547","T08","29/04/13 14:26",65,80,80,100,65,80,80,80,80,80,80,65,80,"80",78
"6",3147,"S8593529","T19","29/04/13 14:26",50,65,65,65,80,50,50,20,80,50,50,65,65,"80",56
"7",3148,"S8579205","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"8",3149,"S8580209","T19","29/04/13 14:26",80,65,80,80,80,80,80,20,80,80,65,65,80,"65",71
"9",3150,"S8576851","T19","29/04/13 14:26",65,65,65,65,80,65,65,35,65,65,65,65,65,"80",63.5
"10",3152,"S8591893","T28","29/04/13 14:26",35,100,100,65,80,100,50,20,100,35,50,80,80,"100",63.5
"11",3153,"S8585921","T29","10/05/13 11:43",35,65,65,35,50,50,50,35,35,35,35,50,35,"65",44.75
"12",3154,"S8517001","T08","29/04/13 14:26",50,80,65,80,80,100,50,65,65,50,65,65,65,"50",63
"13",3156,"S8583053","T29","29/04/13 14:26",35,65,35,65,65,50,35,20,50,35,50,50,65,"65",44
"14",3157,"S8401725","T29","29/04/13 14:26",65,80,65,80,80,80,80,50,80,65,65,80,80,"80",71
"15",3158,"S8581571","T19","29/04/13 14:26",65,100,65,65,80,80,65,35,65,65,65,65,65,"65",65.25
"16",3159,"S8579225","T19","29/04/13 14:26",65,100,80,80,100,80,80,80,65,80,65,65,65,"50",76
"17",3160,"S8518663","T09","30/04/13 10:44",50,80,65,20,65,65,50,35,80,35,20,50,65,"50",50
"18",3162,"S8579745","T09","30/04/13 10:44",20,80,80,20,50,20,50,35,35,35,20,65,20,"50",41.75
"19",3164,"S8578757","T19","29/04/13 14:26",50,65,50,65,80,65,65,50,35,65,35,50,50,"65",56.75
"20",3165,"S8575925","T29","29/04/13 14:26",50,80,65,65,65,65,50,50,50,35,50,35,50,"35",51.5
"21",3166,"S8523045","T09","30/04/13 10:44",80,100,80,20,50,50,50,35,80,65,65,80,20,"50",60
"22",3167,"S8593279","T19","29/04/13 14:26",65,80,80,65,100,100,65,50,35,65,65,65,65,"65",67.75
"23",3168,"S8581241","T29","29/04/13 14:29",35,80,65,50,80,80,0,0,20,20,35,20,50,"65",37
"24",3169,"S8607681","T08","29/04/13 14:26",35,80,65,65,80,80,50,50,35,20,65,50,50,"65",51.5
"25",3170,"S8580869","T29","29/04/13 14:26",35,65,50,50,80,50,50,35,50,35,50,50,35,"50",46.25
"26",3171,"S8568197","T08","29/04/13 14:29",65,65,80,65,65,100,50,35,50,50,50,50,35,"35",56.25
"27",3173,"S8575039","T19","29/04/13 14:26",65,65,80,80,80,80,80,65,80,80,65,65,65,"80",74
"28",3174,"S8585693","T19","29/04/13 14:26",50,80,50,65,100,80,65,20,50,50,50,50,65,"65",56.25
"29",3175,"S8588015","T29","29/04/13 14:26",35,50,50,20,35,35,35,20,35,35,20,50,50,"35",35.75
"30",3176,"S8469129","T09","30/04/13 10:44",65,100,80,65,35,80,50,50,80,50,20,80,50,"65",60.75
"31",3177,"S8583641","T19","29/04/13 14:26",50,65,80,80,80,80,65,65,80,80,65,65,65,"80",71
"32",3178,"S8522785","T28","29/04/13 14:26",50,100,80,80,100,100,100,100,80,100,100,80,80,"80",88
"33",3179,"S8475961","T29","29/04/13 14:29",50,80,65,50,80,65,50,0,50,35,35,65,65,"65",49.5
"34",3180,"S8584077","T19","29/04/13 14:26",65,65,80,80,100,80,65,65,65,65,65,65,65,"80",70.5
"35",3181,"S8602821","T29","29/04/13 14:26",35,65,50,50,50,35,35,20,50,35,35,50,20,"35",38.75
"36",3182,"S8584681","T29","29/04/13 14:26",35,50,50,35,35,35,35,20,35,35,35,50,50,"50",38
"37",3183,"S8587705","T28","29/04/13 14:26",65,100,50,65,80,100,100,65,80,100,80,65,80,"100",80.5
"38",3184,"S8583385","T28","29/04/13 14:26",65,100,80,65,80,100,20,20,20,50,65,80,80,"80",59.5
"39",3185,"S8586507","T08","29/04/13 14:26",50,80,80,80,65,100,65,65,65,50,80,80,80,"80",69
"40",3186,"S8580593","T28","29/04/13 14:26",50,100,80,65,80,100,65,50,65,65,50,100,100,"80",71.25
"41",3187,"S8587651","T09","30/04/13 10:41",35,35,80,20,50,20,35,50,50,35,20,50,20,"20",39.5
"42",3188,"S8580967","T19","29/04/13 14:26",35,80,65,65,80,65,65,35,80,65,65,65,65,"65",61.25
"43",3190,"S8586727","T09","30/04/13 10:44",50,100,80,20,50,20,50,50,50,35,20,65,50,"50",49.5
"44",3192,"S8579223","T29","29/04/13 14:26",50,50,50,50,50,65,50,35,50,35,35,35,35,"50",44.75
"45",3193,"S8587977","T28","29/04/13 14:26",65,100,100,65,100,100,65,80,80,65,80,80,80,"100",80
"46",3194,"S8580159","T08","29/04/13 14:26",35,50,80,100,100,80,50,65,65,50,80,80,65,"65",64.75
"47",3195,"S8586949","T19","29/04/13 14:26",65,100,65,65,80,80,50,35,50,65,65,65,65,"80",63.75
"48",3196,"S8492693","T08","29/04/13 14:26",35,80,80,80,100,80,65,50,65,50,80,35,50,"65",62.25
"49",3197,"S8577723","T29","29/04/13 14:26",50,65,50,35,65,35,50,35,50,35,35,50,35,"50",44.75
"50",3198,"S8288655","T09","30/04/13 17:02",80,100,65,20,80,65,20,35,100,65,35,80,65,"35",58.75
"51",3199,"S8574911","T09","30/04/13 10:44",35,80,65,65,50,50,50,35,35,35,20,65,50,"65",47.75
"52",3200,"S8456363","T09","30/04/13 10:44",20,65,35,0,35,35,20,20,50,0,20,50,20,"20",24.25
"53",3201,"S8585503","T08","29/04/13 14:29",35,80,80,100,100,100,100,100,100,80,100,100,65,"80",84.75
"54",3202,"S8582201","T29","29/04/13 14:26",35,65,50,35,50,20,20,35,50,35,35,20,20,"50",36.5
"55",3203,"S8524901","T05","29/04/13 14:26",50,100,80,65,100,100,65,65,80,65,65,80,80,"80",73.25
"56",3204,"S8530189","T25","30/04/13 10:44",65,100,100,65,100,100,65,65,100,65,65,65,65,"100",77.25
"57",3205,"S8556233","T25","29/04/13 14:26",50,80,100,65,100,100,50,65,100,65,65,80,80,"100",74.75
"58",3206,"S8563805","T05","29/04/13 14:26",20,65,50,100,100,80,20,20,20,20,20,100,65,"20",42.5
"59",3207,"S8535705","T05","29/04/13 14:26",35,100,80,100,100,100,50,35,100,50,80,65,80,"80",67.75
"60",3208,"S8525291","T30","29/04/13 14:26",35,100,80,65,50,80,50,50,50,35,50,65,50,"50",54.75
"61",3209,"S8580223","T05","29/04/13 14:26",35,100,80,100,100,100,50,35,80,65,35,65,65,"80",66
"62",3210,"S8563733","T05","29/04/13 14:26",50,80,65,65,80,100,50,50,65,50,65,65,50,"50",60
"63",3211,"S8566867","T31","29/04/13 14:26",50,100,35,35,65,20,50,65,50,50,65,80,35,"50",52.5
"64",3212,"S8525047","T30","29/04/13 14:26",50,100,80,65,50,35,50,35,50,35,35,50,50,"65",51.75
"65",3213,"S8575977","T31","29/04/13 14:26",50,65,80,35,50,80,65,65,80,65,80,80,65,"50",65
"66",3214,"S8527477","T30","29/04/13 14:26",65,100,50,65,100,35,65,65,65,65,65,65,65,"65",65.5
"67",3216,"S8354115","T25","29/04/13 14:26",65,100,100,80,100,100,65,65,65,65,65,50,80,"100",76.25
"68",3217,"S8576993","T05","29/04/13 14:26",50,100,80,100,100,100,65,65,100,65,65,65,80,"80",75.25
"69",3218,"S8586659","T31","29/04/13 14:26",50,80,65,100,100,80,50,50,50,50,80,80,65,"80",64.75
"70",3220,"S8530473","T05","29/04/13 14:26",35,100,80,80,80,100,35,20,80,35,50,65,80,"80",58
"71",3221,"S8578911","T28","29/04/13 14:26",65,80,65,65,50,50,80,100,80,100,65,35,80,"80",75.25
"72",3222,"S8577631","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"73",3223,"S8515233","T25","29/04/13 14:26",100,80,80,80,100,100,80,80,100,80,65,65,100,"100",85.5
"74",3224,"S8579793","T28","29/04/13 14:26",50,80,65,80,80,65,100,80,50,100,65,65,80,"80",76.75
"75",3225,"S8595075","T05","29/04/13 14:29",65,65,65,80,100,100,65,35,80,65,50,65,50,"80",66.25
"76",3227,"S8411017","T25","30/04/13 10:44",35,100,80,80,80,100,35,0,35,20,35,35,65,"100",49.5
"77",3228,"S8581785","T31","29/04/13 14:26",80,100,65,35,65,50,65,65,80,65,35,80,65,"80",66.75
"78",3229,"S8582651","T05","29/04/13 14:26",50,100,80,80,100,100,50,35,50,50,50,50,50,"50",60.5
"79",3230,"S8516021","T25","30/04/13 10:44",50,100,100,50,100,100,65,65,65,65,65,65,100,"100",75
"80",3231,"S8358653","T25","30/04/13 10:44",100,100,80,80,100,100,50,65,100,50,65,20,65,"100",73.5
"81",3232,"S8575753","T28","29/04/13 14:26",100,80,65,65,80,80,50,65,80,80,65,50,80,"80",73
"82",3233,"S8581667","T25","30/04/13 10:38",80,100,100,50,100,100,65,80,100,65,65,80,100,"100",82
"83",3234,"S8542919","T31","29/04/13 14:26",35,100,80,100,80,100,35,50,50,65,50,35,65,"65",62
"84",3235,"S8576175","T30","29/04/13 14:26",100,80,80,100,65,80,65,65,65,50,50,50,65,"50",68.75
"85",3236,"S8579423","T28","29/04/13 14:26",100,80,65,80,50,50,80,80,80,100,65,50,80,"80",78.25
"86",3237,"S8579733","T31","29/04/13 14:29",35,80,50,20,50,80,20,35,35,20,35,80,20,"50",39.5
"87",3238,"S8581945","T28","29/04/13 14:26",50,100,65,65,80,80,50,65,80,50,65,100,80,"80",67
"88",3239,"S8548067","T31","29/04/13 14:29",20,80,50,0,20,0,20,20,20,20,0,20,20,"20",23
"89",3240,"S8458723","T25","29/04/13 14:26",50,80,100,80,100,100,80,65,50,65,65,80,80,"100",76
"90",3241,"S8467117","T31","29/04/13 14:26",50,65,50,65,50,50,20,35,35,35,50,80,50,"65",46.25
"91",3242,"S8636181","T31","29/04/13 14:29",50,80,80,50,50,50,20,20,20,50,35,65,65,"100",50.25
"92",3243,"S8581235","T05","29/04/13 14:26",20,65,50,65,35,35,50,50,100,50,65,50,80,"80",53.25
"93",3244,"S8578885","T31","29/04/13 14:26",80,100,80,100,100,100,80,50,35,80,80,80,80,"80",78.75
"94",3245,"S8550323","T30","29/04/13 14:26",35,80,35,35,50,35,35,35,35,35,35,50,50,"50",40.25
"95",3246,"S8587685","T30","29/04/13 14:26",65,100,65,80,50,100,65,80,80,80,65,50,65,"80",73
"96",3247,"S8576127","T25","29/04/13 14:26",50,80,100,65,100,100,65,65,80,65,65,35,65,"100",72.25
"97",3248,"S8585081","T31","29/04/13 14:26",50,80,65,65,80,80,65,35,65,65,80,65,65,"50",62.75
"98",3249,"S8522963","T05","29/04/13 14:29",65,100,65,100,100,100,50,50,100,50,35,65,65,"80",67.75
"99",3250,"S8588375","T31","29/04/13 14:26",80,100,65,65,65,80,80,65,65,80,100,100,100,"80",78.75
"100",3251,"S8529621","T30","29/04/13 14:26",35,80,65,50,50,65,35,35,20,35,35,35,50,"50",44
"101",3252,"S8608903","T30","29/04/13 14:26",65,100,65,80,100,100,65,80,100,80,65,100,80,"80",79.75
"102",3253,"S8242993","T25","29/04/13 14:26",100,100,100,50,20,35,65,50,80,80,65,80,50,"65",70.75
"103",3254,"S8576295","T31","29/04/13 14:26",35,100,80,50,65,65,65,50,50,50,80,80,65,"65",61.5
"104",3255,"S8578535","T25","29/04/13 14:26",50,80,100,50,100,80,65,65,100,50,65,80,80,"100",72.25
"105",3256,"S8575171","T28","29/04/13 14:29",50,65,80,50,50,50,35,50,80,35,50,65,65,"80",54.5
"106",3257,"S8393733","T28","29/04/13 14:29",35,80,35,65,35,20,20,0,50,20,20,50,50,"80",34.5
"107",3258,"S8578403","T05","29/04/13 14:26",50,100,80,100,100,100,65,65,50,80,65,65,80,"80",75
"108",3259,"S8434511","T31","29/04/13 14:26",65,100,65,65,80,100,80,80,80,80,65,100,80,"80",78.5
"109",3260,"S8579973","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"110",3261,"S8579313","T25","30/04/13 10:44",65,100,100,35,100,100,65,65,100,65,50,50,80,"100",75
"111",3262,"S8582135","T30","29/04/13 14:26",35,50,50,35,65,50,50,50,50,35,35,50,50,"50",45.5
"112",3263,"S8577303","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"113",3264,"S8288857","T05","29/04/13 14:26",35,65,80,80,100,100,35,50,80,50,50,65,65,"80",61.75
"114",3265,"S8532305","T05","29/04/13 14:26",50,100,80,80,100,100,65,65,80,80,65,50,50,"50",71.75
"115",3266,"S8584217","T05","29/04/13 14:26",50,100,80,65,100,100,50,35,80,65,50,65,80,"80",67.25
"116",3267,"S8517757","T25","29/04/13 14:26",35,80,80,35,100,100,65,65,65,65,65,50,50,"100",66.5
"117",3268,"S8619531","T05","29/04/13 14:26",35,65,65,50,100,100,20,20,80,0,20,50,50,"80",43.75
"118",3269,"S8588221","T28","29/04/13 14:26",80,65,50,35,50,65,65,20,65,65,50,50,80,"65",57.5
"119",3270,"S8514393","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"120",3271,"S8586403","T05","29/04/13 14:29",20,100,50,100,80,0,20,20,100,35,20,65,80,"80",47.5
"121",3272,"S8583305","T30","29/04/13 14:26",50,100,65,65,65,100,50,50,65,50,65,65,65,"65",61.75
"122",3273,"S8579073","T32","29/04/13 14:26",80,65,80,65,100,80,50,65,80,65,65,100,100,"80",74
"123",3274,"S8578821","T32","29/04/13 14:26",50,80,100,65,100,100,50,35,80,65,35,100,65,"100",69.5
"124",3275,"S8586437","T30","29/04/13 14:26",35,80,100,50,80,65,50,35,50,50,65,65,65,"65",58.75
"125",3276,"S8571187","T32","29/04/13 14:26",35,65,65,50,100,100,35,35,80,65,50,100,80,"100",63
"126",3277,"S8580595","T30","29/04/13 14:26",50,80,50,80,80,65,50,35,35,50,50,50,50,"50",53
"127",3278,"S8527661","T19","29/04/13 14:26",35,80,65,80,65,65,50,50,50,50,50,50,50,"80",56
"128",3279,"S8584785","T30","29/04/13 14:26",35,100,65,35,100,100,50,35,50,50,50,50,65,"65",56.75
"129",3281,"S8592795","T32","29/04/13 14:26",65,65,65,80,100,80,35,50,100,65,50,100,65,"80",67.25
"130",3282,"S8530961","T19","29/04/13 14:26",50,80,80,80,65,80,50,35,50,65,50,65,65,"65",61.25
"131",3283,"S8588339","T31","29/04/13 14:26",80,100,80,100,100,100,80,80,80,80,65,80,80,"80",83.25
"132",3624,"S8574613","T19","29/04/13 14:26",50,65,50,65,0,0,50,20,65,35,50,50,50,"65",42.75
"133",3285,"S8357111","T31","29/04/13 14:26",80,65,65,100,80,100,50,50,80,65,80,80,65,"80",70.75
"134",3286,"S8577309","T32","29/04/13 14:26",35,80,65,80,100,80,80,80,100,80,80,100,50,"65",74.75
"135",3287,"S8588449","T31","29/04/13 14:26",80,65,100,100,100,80,80,100,100,80,80,100,100,"100",89.25
"136",3288,"S8473277","T30","29/04/13 14:26",50,100,80,65,100,80,0,20,20,50,35,50,50,"50",50
"137",3289,"S8527279","T32","29/04/13 14:26",80,65,80,65,100,80,80,100,100,100,65,100,100,"100",87.75
"138",3290,"S8530361","T32","29/04/13 14:29",65,80,65,65,80,65,65,50,80,80,50,100,80,"80",70.5
"139",3291,"S8575311","T19","29/04/13 14:29",35,65,65,50,80,65,35,20,65,35,50,50,35,"80",47.75
"140",3292,"S8587633","T31","29/04/13 14:26",80,100,100,65,100,100,80,80,100,80,50,80,100,"80",84.75
"141",3293,"S8409797","T19","29/04/13 14:26",65,80,80,80,65,80,50,35,50,50,50,65,50,"80",60.5
"142",3294,"S8578397","T19","29/04/13 14:26",35,65,80,80,80,50,65,35,50,50,50,65,65,"65",57.5
"143",3295,"S8586563","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"144",3296,"S8586619","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"145",3297,"S8594143","T31","29/04/13 14:26",20,65,50,35,20,20,35,50,50,35,35,65,50,"50",40.25
"146",3298,"S8531381","T31","29/04/13 14:26",35,100,80,50,50,65,35,20,35,20,50,65,65,"80",48
"147",3299,"S8586153","T31","29/04/13 14:26",50,80,65,50,35,65,65,80,65,65,80,65,80,"65",65
"148",3300,"S8534409","T19","29/04/13 14:26",50,80,50,50,50,80,35,35,50,35,50,65,35,"50",47.75
"149",3301,"S8285971","T19","29/04/13 14:26",50,80,80,80,65,80,50,35,50,50,50,50,50,"65",57.5
"150",3302,"S8535021","T30","29/04/13 14:26",65,100,80,65,100,100,50,65,65,65,65,100,50,"65",71.25
"151",3303,"S8588741","T30","29/04/13 14:26",35,80,65,50,100,80,50,35,50,35,65,50,50,"65",53.25
